Module_ID	Code	Name	Description	NZQALevel	NZQACredits	CoReq
1	COMP501	IT Operations  	To enable students to apply fundamental IT technical support concepts and practice, and configure and administer systems and applications to meet organisational requirements.	5	15	
2	COMP502	Fundamentals of Programming and Problem Solving	To enable students to apply the principles of software development to create simple working applications and use problem-solving and decision-making techniques to provide innovative and timely Information Technology outcomes.	5	15	
3	COMP503	Introduction to Networks (Cisco 1)	To enable students to apply a broad operational knowledge of networking, and associated services and technologies to meet typical organisational requirements.	5	15	
4	COMP504	Operating Systems & Systems Support	To enable students to select, install, and configure IT hardware and systems software and use graphical (GUI) and command line interfaces (CLI) to meet organisational requirements.	5	15	
5	INFO501	Professional Practice	To enable students to apply professional, legal, and ethical principles and practices in a socially responsible manner as an emerging IT professional, and apply communication, personal and interpersonal skills to enhance effectiveness in an IT role.	5	15	
6	INFO502	Business Systems Analysis & Design	The student will be able to apply the fundamentals of information systems concepts and practice to support and enhance organisational processes and systems; and apply the fundamentals of interaction design concepts and practice to enhance interface design.	5	15	
7	INFO503	Database Principles	To enable students to apply a broad operational knowledge of database administration to meet typical organisational data storage and retrieval requirements, and apply conceptual knowledge of cloud services and virtualisation.	5	15	
8	INFO504	Technical Support	To enable students to demonstrate an operational knowledge and understanding of IT service management, identify common issues related to IT security, and troubleshoot and resolve a range of common system problems.	5	15	
9	COMP601	Object Oriented Programming	To enable students to gain the skills to develop software applications using Object Oriented Programming techniques. Students will enrich their programming and problem solving skills by applying classes, objects, constructors, methods and properties, inheritance and polymorphism to develop programming applications.	6	15	
10	COMP602	Web Development	To enable students to gain the in depth knowledge and skills required to be able to write programs in web programming languages that solve various web programming tasks.	6	15	
11	COMP603	The Web Environment	To enable students to examine the working environment and applications that are used in the web industry.	6	15	
12	COMP604	Routing and Switching Essentials	To enable students to configure, troubleshoot and understand the operation of Routers, Routing Protocols, Switches and VLANs in a networking environment, and complete the Cisco Certified Network Associate 2 (CCNA2) Curriculum.	6	15	
